SourceFile,Tags,Unique Tags
Dicks Sporting Goods/wetransfer-11ce8d/00_BocaCiega_Env_19ESpring_0007.exv,"trees,coniferous,conifers,evergreen,outside,woods","trees,outside"
Dicks Sporting Goods/wetransfer-11ce8d/00_BocaCiega_Env_19ESpring_0007.JPG,"trees,coniferous,conifers,evergreen,outside,woods","trees,outside"
Dicks Sporting Goods/wetransfer-11ce8d/00_BocaCiega_Env_19ESpring_0009.JPG,"trees,coniferous,conifers,evergreen,outside,woods,bright,sunlight,plants,bark,textured","trees,plants,outside"
Dicks Sporting Goods/wetransfer-11ce8d/00_BocaCiega_Env_19ESpring_0010.JPG,"plants,bushes,shrubs,trees,palm trees,shadows","trees,plants"
Dicks Sporting Goods/wetransfer-11ce8d/00_BocaCiega_Env_19ESpring_0015.JPG,"trees,coniferous,conifers,evergreen,outside,woods","trees,outside"
Dicks Sporting Goods/wetransfer-11ce8d/00_BocaCiega_Env_19ESpring_0016.JPG,"trees,coniferous,conifers,evergreen,outside,woods","trees,outside"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0018.JPG,"american flags,horizon,sunrises,sunsets,stylized,silhouette,dramatic","sunrises,stylized,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0019.JPG,"american flags,horizon,sunrises,sunsets,stylized,silhouette,dramatic","sunrises,stylized,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0020.JPG,"american flags,horizon,sunrises,sunsets,stylized,silhouette,dramatic","sunrises,stylized,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0021.JPG,"american flags,horizon,sunrises,sunsets,stylized,silhouette,dramatic","sunrises,stylized,sunsets"
